gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
CPD,0.150826724,2.945901841,0.003220146,Kendall's rank correlation tau,two.sided,18,208
RAB18,0.154321817,3.014166946,0.00257686,Kendall's rank correlation tau,two.sided,17,209
GPC4,0.156069364,3.048299499,0.002301404,Kendall's rank correlation tau,two.sided,16,210
IRS2,0.156069364,3.048299499,0.002301404,Kendall's rank correlation tau,two.sided,16,210
MTSS1,0.160908724,3.142820414,0.001673285,Kendall's rank correlation tau,two.sided,15,211
TAP1,0.163731684,3.197957614,0.001384046,Kendall's rank correlation tau,two.sided,14,212
ASXL2,0.174216965,3.402752929,0.000667106,Kendall's rank correlation tau,two.sided,13,213
ORMDL2,0.184702245,3.607548244,0.000309104,Kendall's rank correlation tau,two.sided,12,214
CAPZB,0.187659632,3.665311025,0.000247038,Kendall's rank correlation tau,two.sided,11,215
MCTP1,0.191423578,3.738827292,0.000184881,Kendall's rank correlation tau,two.sided,10,216
MYH9,0.202715419,3.959376093,7.51458E-05,Kendall's rank correlation tau,two.sided,9,217
IL6ST,0.208764619,4.077527237,4.55172E-05,Kendall's rank correlation tau,two.sided,8,218
RASSF5,0.223148273,4.3584644,1.30978E-05,Kendall's rank correlation tau,two.sided,7,219
CHST2,0.226374513,4.421478343,9.80279E-06,Kendall's rank correlation tau,two.sided,6,220
EXOC8,0.23497782,4.589515525,4.44276E-06,Kendall's rank correlation tau,two.sided,5,221
ERO1L,0.235515526,4.600017849,4.22455E-06,Kendall's rank correlation tau,two.sided,4,222
PTPRJ,0.24667294,4.817941069,1.45047E-06,Kendall's rank correlation tau,two.sided,3,223
CPEB3,0.306492808,5.986324597,2.14636E-09,Kendall's rank correlation tau,two.sided,2,224
MPP7,0.37182417,7.262356946,3.80403E-13,Kendall's rank correlation tau,two.sided,1,225
