gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
CSNK1A1,0.000134427,0.002625581,0.997905092,Kendall's rank correlation tau,two.sided,88,144
IARS2,0.000940987,0.018379067,0.985336452,Kendall's rank correlation tau,two.sided,87,145
SC5D,0.002150827,0.042009295,0.966491288,Kendall's rank correlation tau,two.sided,86,146
YIPF6,0.00483936,0.094520915,0.924695369,Kendall's rank correlation tau,two.sided,85,147
HELLS,0.007124614,0.139155791,0.889327042,Kendall's rank correlation tau,two.sided,84,148
STC2,0.010350854,0.202169734,0.839784033,Kendall's rank correlation tau,two.sided,83,149
TMEM236,0.011560694,0.225799963,0.821357006,Kendall's rank correlation tau,two.sided,82,150
CLVS2,0.01330824,0.259932515,0.794915829,Kendall's rank correlation tau,two.sided,81,151
GNB4,0.014383654,0.280937163,0.778758596,Kendall's rank correlation tau,two.sided,80,152
SPAG6,0.01451808,0.283562744,0.776745491,Kendall's rank correlation tau,two.sided,79,153
PDE3A,0.01855088,0.362330173,0.717105313,Kendall's rank correlation tau,two.sided,78,154
ZC3H12C,0.020432854,0.399088306,0.689828138,Kendall's rank correlation tau,two.sided,77,155
BACE1,0.020567281,0.401713887,0.687894603,Kendall's rank correlation tau,two.sided,76,156
GFRA1,0.020970561,0.40959063,0.682106271,Kendall's rank correlation tau,two.sided,75,157
TEAD1,0.022986961,0.448974345,0.653450164,Kendall's rank correlation tau,two.sided,74,158
FOXP1,0.023121387,0.451599926,0.651557223,Kendall's rank correlation tau,two.sided,73,159
NDP,0.025406641,0.496234802,0.61972876,Kendall's rank correlation tau,two.sided,72,160
EXOC8,0.026750907,0.522490612,0.601328781,Kendall's rank correlation tau,two.sided,71,161
ZFHX3,0.026750907,0.522490612,0.601328781,Kendall's rank correlation tau,two.sided,71,161
DENND6A,0.029573867,0.577627812,0.563515426,Kendall's rank correlation tau,two.sided,70,162
BHLHB9,0.030246001,0.590755717,0.55468411,Kendall's rank correlation tau,two.sided,69,163
CXCL2,0.031859121,0.622262688,0.533769151,Kendall's rank correlation tau,two.sided,68,164
ZNF148,0.032531254,0.635390593,0.525173702,Kendall's rank correlation tau,two.sided,67,165
POU6F2,0.034144374,0.666897565,0.504837567,Kendall's rank correlation tau,two.sided,66,166
CHL1,0.035623068,0.695778955,0.48656727,Kendall's rank correlation tau,two.sided,65,167
GAREM,0.036429628,0.711532441,0.476754355,Kendall's rank correlation tau,two.sided,64,168
MAP1B,0.038311601,0.748290575,0.454284908,Kendall's rank correlation tau,two.sided,63,169
PURA,0.039521441,0.771920803,0.440161335,Kendall's rank correlation tau,two.sided,62,170
